subject_curie,subject_name,predicate,object_curie,object_name,PMID,repo_support,jev_support,q_statement,variant,prompt_version,elapsed_s,error
CHEBI:80843,Leonurine,biolink:located_in,UMLS:C1009574,Chrysanthemum x morifolium,PMID:32698037,no,no,0.04,full,1,,
CHEBI:80843,Leonurine,biolink:located_in,UMLS:C1009574,Chrysanthemum x morifolium,PMID:32698037,no,no,0.03,lean,1,,
NCBITaxon:12721,HIV,biolink:causes,MONDO:0021108,meningitis,PMID:25308903,no,maybe,0.41,full,1,,
NCBITaxon:12721,HIV,biolink:causes,MONDO:0021108,meningitis,PMID:25308903,no,no,0.17,lean,1,,
UNII:12V8PA4WCH,Menaquinone,biolink:affects,UMLS:C0162638,Apoptosis,PMID:18374196,yes,yes,0.93,full,1,,
UNII:12V8PA4WCH,Menaquinone,biolink:affects,UMLS:C0162638,Apoptosis,PMID:18374196,yes,yes,0.92,lean,1,,
CHEBI:10093,Yohimbine,biolink:interacts_with,CHEBI:8364,Prazosin,PMID:1705253,no,yes,0.69,full,1,,
CHEBI:10093,Yohimbine,biolink:interacts_with,CHEBI:8364,Prazosin,PMID:1705253,no,yes,0.61,lean,1,,
NCBIGene:114548,NLRP3,biolink:located_in,UMLS:C4042840,RAW 264.7 Cells,PMID:33504420,yes,maybe,0.58,full,1,,
NCBIGene:114548,NLRP3,biolink:located_in,UMLS:C4042840,RAW 264.7 Cells,PMID:33504420,yes,yes,0.65,lean,1,,
UMLS:C1518997,Peripheral Blood Lymphocyte,biolink:has_part,UMLS:C0038615,Succinate Dehydrogenase,PMID:18712095,yes,yes,0.77,full,1,,
UMLS:C1518997,Peripheral Blood Lymphocyte,biolink:has_part,UMLS:C0038615,Succinate Dehydrogenase,PMID:18712095,yes,yes,0.74,lean,1,,
UMLS:C0001473,Adenosine Triphosphatases,biolink:has_part,UMLS:C0033684,Proteins,PMID:28591806,no,yes,0.68,full,1,,
UMLS:C0001473,Adenosine Triphosphatases,biolink:has_part,UMLS:C0033684,Proteins,PMID:28591806,no,yes,0.67,lean,1,,
UMLS:C0013794,Electroacupuncture,biolink:treats_or_applied_or_studied_to_treat,HP:0030833,Neck pain,PMID:31372917,yes,yes,0.96,full,1,,
UMLS:C0013794,Electroacupuncture,biolink:treats_or_applied_or_studied_to_treat,HP:0030833,Neck pain,PMID:31372917,yes,yes,0.96,lean,1,,
NCBIGene:10194,TSHZ1,biolink:has_part,UMLS:C0009221,Codon (nucleotide sequence),PMID:2414104,no,no,0.06,full,1,,
NCBIGene:10194,TSHZ1,biolink:has_part,UMLS:C0009221,Codon (nucleotide sequence),PMID:2414104,no,no,0.14,lean,1,,
UMLS:C3271951,macropinocytosis,biolink:affects,UMLS:C0243144,Uptake,PMID:35298163,yes,yes,0.94,full,1,,
UMLS:C3271951,macropinocytosis,biolink:affects,UMLS:C0243144,Uptake,PMID:35298163,yes,yes,0.94,lean,1,,
MONDO:0005202,atopy,biolink:related_to,UMLS:C0079189,cytokine,PMID:14630994,yes,yes,0.85,full,1,0.457,
MONDO:0005202,atopy,biolink:related_to,UMLS:C0079189,cytokine,PMID:14630994,yes,yes,0.91,lean,1,0.35,
MONDO:0004691,autosomal dominant polycystic kidney disease,biolink:causes,UMLS:C0018270,Growth,PMID:17715262,yes,yes,0.69,full,1,0.383,
