subject_curie,subject_name,predicate,object_curie,object_name,PMID,repo_support,jev_support,q_statement,variant,prompt_version,elapsed_s,error
CHEBI:80843,Leonurine,biolink:located_in,UMLS:C1009574,Chrysanthemum x morifolium,PMID:32698037,no,no,0.04,base,3,0.418,
NCBITaxon:12721,HIV,biolink:causes,MONDO:0021108,meningitis,PMID:25308903,no,no,0.38,base,3,0.377,
UNII:12V8PA4WCH,Menaquinone,biolink:affects,UMLS:C0162638,Apoptosis,PMID:18374196,yes,yes,0.94,base,3,2.616,
CHEBI:10093,Yohimbine,biolink:interacts_with,CHEBI:8364,Prazosin,PMID:1705253,no,yes,0.66,base,3,0.388,
NCBIGene:114548,NLRP3,biolink:located_in,UMLS:C4042840,RAW 264.7 Cells,PMID:33504420,yes,yes,0.62,base,3,0.361,
UMLS:C1518997,Peripheral Blood Lymphocyte,biolink:has_part,UMLS:C0038615,Succinate Dehydrogenase,PMID:18712095,yes,yes,0.78,base,3,0.412,
UMLS:C0001473,Adenosine Triphosphatases,biolink:has_part,UMLS:C0033684,Proteins,PMID:28591806,no,yes,0.67,base,3,0.355,
UMLS:C0013794,Electroacupuncture,biolink:treats_or_applied_or_studied_to_treat,HP:0030833,Neck pain,PMID:31372917,yes,yes,0.96,base,3,0.379,
NCBIGene:10194,TSHZ1,biolink:has_part,UMLS:C0009221,Codon (nucleotide sequence),PMID:2414104,no,no,0.07,base,3,0.34,
UMLS:C3271951,macropinocytosis,biolink:affects,UMLS:C0243144,Uptake,PMID:35298163,yes,yes,0.93,base,3,0.416,
MONDO:0005202,atopy,biolink:related_to,UMLS:C0079189,cytokine,PMID:14630994,yes,yes,0.86,base,3,0.362,
MONDO:0004691,autosomal dominant polycystic kidney disease,biolink:causes,UMLS:C0018270,Growth,PMID:17715262,yes,yes,0.72,base,3,0.426,
MONDO:0002050,Depressed mood,biolink:affects,UMLS:C0013989,Empathy,PMID:25565484,no,maybe,0.5,base,3,0.35,
UMLS:C5397190,Ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 (substance),biolink:located_in,UBERON:0001728,nasopharynx,PMID:35987708,maybe,yes,0.89,base,3,0.346,
UMLS:C0199176,Prophylactic treatment,biolink:treats_or_applied_or_studied_to_treat,UMLS:C0011304,Demyelination,PMID:35001353,maybe,yes,0.67,base,3,0.332,
UMLS:C0085203,Radiosurgery,biolink:treats_or_applied_or_studied_to_treat,MONDO:0006047,pancreatic adenocarcinoma,PMID:20308870,no,yes,0.86,base,3,0.321,
UMLS:C0017337,Genes,biolink:produces,CHEBI:26519,radical,PMID:28835647,no,no,0.04,base,3,0.351,
UMLS:C0039241,Tachykinin,biolink:located_in,UMLS:C0086697,"Nerve Endings, Sensory",PMID:9618709,yes,yes,0.89,base,3,0.35,
UMLS:C0006685,Calcium Channel,biolink:located_in,MESH:D016501,Neurites,PMID:8845942,yes,yes,0.83,base,3,0.356,
CHEBI:25805,oxygen atom,biolink:interacts_with,CHEBI:36976,nucleotide,PMID:10821865,no,yes,0.75,base,3,0.427,
CHEBI:24870,ion,biolink:located_in,NCBITaxon:746128,Aspergillus fumigatus,PMID:18970890,yes,maybe,0.56,base,3,0.369,
UMLS:C0024290,Lymphography,biolink:located_in,UBERON:0002095,mesentery,PMID:1126992,yes,yes,0.61,base,3,0.417,
UMLS:C0021760,interleukin-6,biolink:produces,UMLS:C0062534,Hepatocyte Growth Factor,PMID:29523587,no,no,0.05,base,3,0.481,
CHEBI:209558,Calphostin C,biolink:affects,UMLS:C0044602,1-Phosphatidylinositol 3-Kinase,PMID:20599609,no,maybe,0.55,base,3,0.385,
CHEBI:16881,Indole,biolink:located_in,UBERON:0000178,blood,PMID:10945277,no,no,0.12,base,3,0.347,
NCBIGene:11261,CHP1,biolink:affects,UMLS:C0068355,NADPH Oxidase,PMID:18292807,no,no,0.14,base,3,0.376,
UMLS:C0017952,Glycolysis,biolink:located_in,GO:0005739,mitochondrion,PMID:9974390,no,no,0.12,base,3,0.406,
CHEBI:15971,Histidine,biolink:coexists_with,CHEBI:16240,Hioxyl,PMID:36252652,maybe,maybe,0.45,base,3,0.368,
HP:0001622,Premature birth,biolink:predisposes_to_condition,MONDO:0005929,Maternity blues,PMID:23360942,yes,no,0.15,base,3,0.342,
UMLS:C0540511,Angiopoietin-2,biolink:related_to,UMLS:C0699748,Pathogenesis,PMID:21956768,yes,yes,0.88,base,3,0.373,
UMLS:C1521745,Conventional Surgery,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005160,aortic aneurysm,PMID:15760265,yes,yes,0.86,base,3,0.369,
CHEBI:18243,Dopamine,biolink:affects,UMLS:C0013032,Dopamine-beta-monooxygenase,PMID:3828820,no,no,0.25,base,3,0.377,
CHEBI:554446,Cefapirin,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005148,type 2 diabetes mellitus,PMID:35909294,no,no,0.02,base,3,0.358,
UMLS:C0059735,Cytochrome P-450 CYP1A1,biolink:located_in,UMLS:C0008046,Chick Embryo,PMID:1309687,no,maybe,0.43,base,3,0.388,
UMLS:C0031843,physiological aspects,biolink:related_to,MESH:D062789,Tobacco,PMID:36875537,no,no,0.11,base,3,0.353,
MONDO:0002050,Depressed mood,biolink:occurs_in,UMLS:C0150775,Social Networks,PMID:30107351,no,maybe,0.57,base,3,0.349,
MONDO:0005173,actinic keratosis,biolink:located_in,UBERON:0002398,manus,PMID:33040339,yes,yes,0.84,base,3,0.371,
MONDO:0002254,syndrome,biolink:coexists_with,MONDO:0011057,cerebrovascular disorder,PMID:549218,yes,maybe,0.6,base,3,0.391,
MONDO:0024314,parasitemia,biolink:affects,MESH:D010271,Parasites,PMID:19451638,no,no,0.38,base,3,0.352,
